Player Name,Alt Player Name,dob,age,ioc,hand,height,wikipedia_intro,photo_url,name_first,name_last,wikidata_id,Index Player Name,is_duplicate
Adrien Bossel,A. Bossel,1986-12-28,37.0,SUI,L,,Adrien Bossel (born 28 December 1986) is a Swiss tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/15px-Flag_of_Switzerland_%28Pantone%29.svg.png,Adrien,Bossel,Q376890,Bossel A.,0
Agustin Velotti,A. Velotti,1992-05-24,32.0,ARG,R,174.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Velotti_WMQ14_%287%29_%2814420238700%29.jpg/220px-Velotti_WMQ14_%287%29_%2814420238700%29.jpg,Agustin,Velotti,Q2827366,Velotti A.,0
Akira Santillan,A. Santillan,1997-05-22,27.0,AUS,R,180.0,"Akira Santillan (アキラ サンティラン, Santiran Akira, born 22 May 1997) is an Australian tennis player. He represents Australia in competitions, though he played for Japan from 2015 to 2017.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/2017_US_Open_Tennis_-_Qualifying_Rounds_-_Akira_Santillan_%28AUS%29_def._Uladzimir_Ignatik_%28BLR%29_%2836213145704%29.jpg/220px-2017_US_Open_Tennis_-_Qualifying_Rounds_-_Akira_Santillan_%28AUS%29_def._Uladzimir_Ignatik_%28BLR%29_%2836213145704%29.jpg,Akira,Santillan,Q25999882,Santillan A.,0
Alastair Gray,A. Gray,1998-06-22,26.0,GBR,R,,Alastair Gray (born 22 June 1998) is a British tennis player.,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png,Alastair,Gray,Q65587040,Gray A.,0
Albano Olivetti,A. Olivetti,1991-11-24,32.0,FRA,R,203.0,Albano Olivetti (born 24 November 1991) is a French professional tennis player. He is a doubles specialist and has a career-high ATP doubles ranking of No. 46 achieved on 5 February 2024.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Olivetti_BLO22_%2826%29_%2852156025072%29.jpg/220px-Olivetti_BLO22_%2826%29_%2852156025072%29.jpg,Albano,Olivetti,Q549297,Olivetti A.,0
Albert Montanes,A. Montanes,1980-11-26,43.0,ESP,R,175.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Montanes_Estoril_Open_2009_1.jpg/220px-Montanes_Estoril_Open_2009_1.jpg,Albert,Montanes,Q299374,Montanes A.,0
Albert Ramos-Vinolas,A. Ramos Vinolas,1900-02-02,124.0,,U,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg/220px-Ramos_Vinolas_MCM22_%284%29_%2852036912745%29.jpg,Albert,Ramos-Vinolas,,Ramos-Vinolas A.,0
Aldin Setkic,A. Setkic,1987-12-21,36.0,BIH,R,193.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Setkic_WMQ15_%289%29_%2819763799360%29.jpg/220px-Setkic_WMQ15_%289%29_%2819763799360%29.jpg,Aldin,Setkic,Q4713815,Setkic A.,0
Alejandro Davidovich Fokina,A. Davidovich Fokina,1999-06-05,25.0,ESP,R,183.0,Alejandro Davidovich Fokina (born 5 June 1999) is a Spanish professional tennis player. He has a career-high ATP singles ranking of World No. 21 achieved on 21 August 2023 and a doubles ranking of No. 196 achieved on 21 February 2022. He is currently the No. 5 Spanish player.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg/220px-Alejandro_Davidovich_Fokina_%282023_US_Open%29_06_%28cropped%29.jpg,Alejandro,Davidovich Fokina,Q33084529,Davidovich Fokina A.,0
Alejandro Falla,A. Falla,1983-11-14,41.0,COL,L,185.0,"Alejandro Falla Ramírez (Spanish pronunciation: [aleˈxandɾo ˈfaʎa raˈmiɾes]; born 14 November 1983) is a retired professional male tennis player from Colombia. The left-hander turned pro in 2000 and achieved a career-high singles ranking of World No. 48 in July 2012. At the 2006 Wimbledon tournament, Falla upset 9th seed Nikolay Davydenko and at the 2007 Sony Ericsson Open he beat 9th seed Tommy Haas in straight sets. He reached the semifinals of the Grand Prix de Tennis de Lyon in 2007, beating players such as the 5th seed Ivan Ljubičić.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Falla_WMQ16_%285%29_%2828133804431%29.jpg/220px-Falla_WMQ16_%285%29_%2828133804431%29.jpg,Alejandro,Falla,Q357215,Falla A.,0
Alejandro Moro Canas,A. Moro Canas,2000-12-07,23.0,ESP,U,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png,Alejandro,Moro Canas,,Moro Canas A.,0
Alejandro Tabilo,A. Tabilo,1997-06-02,27.0,CHI,L,188.0,"Alejandro Tabilo Álvarez (born 2 June 1997) is a Chilean professional tennis player. He has been ranked by the ATP as high as world No. 19 in singles, achieved on 1 July 2024 and a doubles ranking of world No. 152, attained on 19 August 2024. He is the current Chilean No. 1. ",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Tabilo_RGQ23_%2852942983162%29.jpg/220px-Tabilo_RGQ23_%2852942983162%29.jpg,Alejandro,Tabilo,Q65159701,Tabilo A.,0
Aleksandar Kovacevic,A. Kovacevic,1998-08-29,26.0,USA,U,,,,Aleksandar,Kovacevic,Q108523625,Kovacevic A.,0
Aleksandar Vukic,A. Vukic,1996-04-06,28.0,AUS,R,188.0,"Aleksandar Vukic (Serbian: Александар Вукић, Aleksandar Vukić, pronounced [aleksǎːndar ʋǔːkitɕ, alěksaːn-]; born 6 April 1996) is an Australian professional tennis player.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Vukic_RGQ22_%285%29_%2852128494517%29.jpg/220px-Vukic_RGQ22_%285%29_%2852128494517%29.jpg,Aleksandar,Vukic,Q47090843,Vukic A.,0
Aleksandr Nedovyesov,A. Nedovyesov,1987-02-15,37.0,KAZ,R,193.0,"Aleksandr Nedovyesov (Russian: Алекса́ндр Серге́евич Недове́сов; Russian pronunciation: [ɐlʲɪˈksandr nʲɪdɐˈvʲesəf]; formerly known as Oleksandr Nedovyesov and Alexander Nedovesov; born 15 February 1987), is a Ukrainian-Kazakhstani professional tennis player. He reached his highest ATP doubles ranking of No. 38 on 20 May 2024 and a singles ranking of No. 72 on 21 April 2014. He won his maiden title at the 2023 Swedish Open in Bastad, becoming the first Kazakhstani in the Open Era to lift a doubles ATP title.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Aleksandr_Nedovyesov_4%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg/220px-Aleksandr_Nedovyesov_4%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg,Aleksandr,Nedovyesov,Q7086270,Nedovyesov A.,0
Alen Avidzba,A. Avidzba,2000-02-24,24.0,RUS,R,,Alen Akhrovich Avidzba (Russian: Ален Ахрович Авидзба; born 24 February 2000) is a Russian tennis player.,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,Alen,Avidzba,Q71077532,Avidzba A.,0
Alessandro Bega,A. Bega,1991-01-11,33.0,ITA,R,173.0,Alessandro Bega (born 11 January 1991) is an Italian former tennis player. He predominantly played on the ITF Futures and ATP Challenger Tour.,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png,Alessandro,Bega,Q34055325,Bega A.,0
Alessandro Giannessi,A. Giannessi,1990-05-30,34.0,ITA,L,183.0,Alessandro Giannessi (born 30 May 1990) is a professional Italian tennis player. On 24 July 2017 he reached his highest ATP singles ranking of world No. 84 while his best doubles ranking was No. 171 on 14 October 2013.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Giannessi_BOR22_%2852083970806%29.jpg/220px-Giannessi_BOR22_%2852083970806%29.jpg,Alessandro,Giannessi,Q304117,Giannessi A.,0
Alex Beck,A. Beck,1993-11-05,31.0,USA,U,,Alexander (Alex) Beck (born 7 February 1992) is an Australian Olympic athlete. He is a three time defending National champion.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png,Alex,Beck,,Beck A.,0
Alex Bolt,A. Bolt,1993-01-05,31.0,AUS,L,183.0,Alex Bolt (born 5 January 1993) is an Australian professional tennis player. He plays mainly on the ATP Challenger Tour. His career-high rankings by the ATP are world No. 125 in singles and world No. 81 in doubles. Highlights of his career include quarterfinal appearances at the 2014 Australian Open men's doubles and at the 2017 Australian Open with Andrew Whittington and Bradley Mousley respectively.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Bolt_RGQ23_%2852944096863%29.jpg/220px-Bolt_RGQ23_%2852944096863%29.jpg,Alex,Bolt,Q3462853,Bolt A.,0
Alex De Minaur,A. De Minaur,1999-02-17,25.0,AUS,R,183.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/220px-Alex_de_Minaur_2024.jpg,Alex,De Minaur,Q22958938,De Minaur A.,0
Alex Michelsen,A. Michelsen,2004-08-25,20.0,USA,U,,"Alex T. Michelsen (born August 25, 2004) is an American professional tennis player. He has a career high ATP singles ranking of world No. 43, achieved on 30 September 2024 and a doubles ranking of No. 118, achieved in August 2024. He is currently the second youngest player in the top 50.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Alex_Michelsen_%282023_Cary_2%29_01.jpg/220px-Alex_Michelsen_%282023_Cary_2%29_01.jpg,Alex,Michelsen,,Michelsen A.,0
Alex Molcan,A. Molcan,1997-12-01,26.0,SVK,L,178.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Molcan_RG22_%2824%29_%2852144316774%29.jpg/220px-Molcan_RG22_%2824%29_%2852144316774%29.jpg,Alex,Molcan,Q73247665,Molcan A.,0
Alex Rybakov,A. Rybakov,1997-01-27,27.0,USA,U,,"Alex Rybakov (born January 27, 1997) is an American tennis player.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Rybakov_BLO22_%2819%29_%2852157051163%29.jpg/220px-Rybakov_BLO22_%2819%29_%2852157051163%29.jpg,Alex,Rybakov,Q23678985,Rybakov A.,0
Alexandar Lazarov,A. Lazarov,1997-11-06,27.0,BUL,R,185.0,"Alexandar Lazarov (Bulgarian: Александър Лазаров, born 6 November 1997) is a Bulgarian professional tennis player. His career-high singles ranking is world No. 272 achieved on 14 November 2022 and his best doubles ranking is No. 359 achieved on 3 February 2020.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png,Alexandar,Lazarov,Q23008009,Lazarov A.,0
Alexandar Lazov,A. Lazov,1990-07-09,34.0,BUL,L,183.0,"Alexandar Lazov (Bulgarian: Александър Лазов, born 9 July 1990) is a former professional Bulgarian tennis player. On 29 June 2015, he reached his highest ATP singles ranking of 324 whilst his best doubles ranking was 314 on 23 October 2017. In September 2012 he defeated Tihomir Grozdanov to become the 2012 Men's Bulgarian Champion.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png,Alexandar,Lazov,Q3854322,Lazov A.,0
Alexander Blockx,A. Blockx,2005-04-08,19.0,BEL,U,,Alexander Blockx (born 8 April 2005) is a Belgian tennis player. He has a career-high singles ranking of  No. 224 achieved on 30 September 2024. He also reached a career-high junior ranking of No. 1 in singles and doubles on 1 May 2023  after winning the 2023 Australian Open in the boys singles and reaching the final in the  boys doubles.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png,Alexander,Blockx,,Blockx A.,0
Alexander Bublik,A. Bublik,1997-06-17,27.0,KAZ,R,196.0,"Alexander Stanislavovich Bublik (Александр Станиславович Бублик; born 17 June 1997) is a Kazakhstani professional tennis player. He has been ranked as high as world No. 17 in singles by the ATP, achieved in May 2024, and is the current Kazakhstani No. 1 player. Bublik also has a career-high doubles ranking of world No. 47, attained on 8 November 2021.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg/220px-Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg,Alexander,Bublik,Q23678983,Bublik A.,0
Alexander Donski,A. Donski,1998-08-01,26.0,CAN,R,188.0,Alexander Donski (Bulgarian: Александър Донски; born 1 August 1998) is a Bulgarian tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png,Alexander,Donski,Q47886067,Donski A.,0
Alexander Erler,A. Erler,1997-10-27,27.0,AUT,R,193.0,"Alexander Erler (Austrian German pronunciation: [alɛkˈsandɐ ˈɛrlɐ]; born 27 October 1997) is an Austrian professional tennis player. He has a career high ATP doubles ranking of world No. 32, achieved on 8 May 2023. He has a career high singles ranking of No. 322, achieved on 4 October 2021. He has won 6 doubles titles on the ATP Tour, 5 with compatriot Lucas Miedler: the home tournaments in 2021 Kitzbühel, in Vienna and 2023 Kitzbühel, and in Acapulco and Munich and also 2024 Kitzbühel with Andreas Mies.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Erler_BLO22_%2866%29_%2852156021552%29.jpg/220px-Erler_BLO22_%2866%29_%2852156021552%29.jpg,Alexander,Erler,Q25003614,Erler A.,0
Alexander Kudryavtsev,A. Kudryavtsev,1985-10-26,39.0,RUS,R,183.0,"Alexander Mikhailovich Kudryavtsev (Russian: Алекса́ндр Миха́йлович Кудря́вцев; born 26 October 1985) is a retired Russian professional tennis player who has played professionally since 2003. He made his breakthrough in 2008, playing in his first top-level international tournaments on the ATP tour, having spent time playing at the ATP Challenger Tour and Futures events. He reached his career-high singles ranking of 117 on 2 February 2015 and career-high doubles ranking of 70 on 7 November 2011.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kudryavtsev_WMQ15_%287%29_%2819331112393%29.jpg/220px-Kudryavtsev_WMQ15_%287%29_%2819331112393%29.jpg,Alexander,Kudryavtsev,Q1890409,Kudryavtsev A.,0
Alexander Ritschard,A. Ritschard,1994-03-24,30.0,SUI,R,,"Alexander Ritschard (born March 24, 1994) is a Swiss-American professional tennis player. He has a career-high ATP singles ranking of world No. 99, achieved on 30 September 2024 and a doubles ranking of No. 388, achieved on 4 April 2022. He is currently the No. 1 Swiss player.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Ritschard_WMQ23_%2853062186288%29.jpg/220px-Ritschard_WMQ23_%2853062186288%29.jpg,Alexander,Ritschard,Q15782265,Ritschard A.,0
Alexander Sarkissian,A. Sarkissian,1990-04-03,34.0,USA,R,191.0,"Alexander Sarkissian (born April 3, 1990) is an American professional tennis player of Armenian descent. He won his first ATP Challenger title at the 2015 Gimcheon Open ATP Challenger in South Korea in June 2015.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sarkissian_WMQ16_%287%29_%2828107144142%29.jpg/220px-Sarkissian_WMQ16_%287%29_%2828107144142%29.jpg,Alexander,Sarkissian,Q20643204,Sarkissian A.,0
Alexander Shevchenko,A. Shevchenko,2000-11-29,23.0,KAZ,R,,Alexander Shevchenko or Aleksandr Shevchenko (Russian: Александр Шевченко) may refer to:,,Alexander,Shevchenko,,Shevchenko A.,0
Alexander Ward,A. Ward,1990-04-30,34.0,GBR,R,185.0,Alexander Ward (born 30 April 1990) is a retired British tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ward_A._WM17_%281%29_%2835347195354%29.jpg/220px-Ward_A._WM17_%281%29_%2835347195354%29.jpg,Alexander,Ward,Q18129132,Ward A.,0
Alexander Zverev,A. Zverev,1997-04-20,27.0,GER,R,198.0,"Alexander Zverev (German pronunciation: [alɛkˈsandɐ ˈtsfeːʁɛf]; born 20 April 1997) is a German professional tennis player and the current ATP world No. 3. He has won 22 ATP Tour titles in singles and two in doubles, and has been runner-up at two Grand Slams, the 2020 US Open and 2024 French Open.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Zverev_MCM23_%2820%29.jpg/220px-Zverev_MCM23_%2820%29.jpg,Alexander,Zverev,Q13990552,Zverev A.,0
Alexandr Dolgopolov,A. Dolgopolov,1988-11-07,36.0,UKR,R,180.0,"Alexandr Oleksandrovych Dolgopolov (born 7 November 1988), formerly known as Oleksandr Dolgopolov Jr., is a Ukrainian retired professional tennis player. He changed his forename spelling to the current form in May 2010. Dolgopolov reached the quarterfinals of the 2011 Australian Open and achieved a career-high singles ranking of World No. 13 in January 2012.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Alexandr_Dolgopolov_%2818627153608%29.jpg/220px-Alexandr_Dolgopolov_%2818627153608%29.jpg,Alexandr,Dolgopolov,Q311906,Dolgopolov A.,0
Alexandre Muller,A. Muller,1997-02-01,27.0,FRA,R,183.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Muller_RGQ22_%2837%29_%2852129571758%29.jpg/220px-Muller_RGQ22_%2837%29_%2852129571758%29.jpg,Alexandre,Muller,Q29960092,Muller A.,0
Alexandre Sidorenko,A. Sidorenko,1988-02-18,36.0,FRA,R,185.0,Alexandre Sidorenko (born 18 February 1988) is a French tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Sidorenko_WMQ16_%2826%29_%2828177325596%29.jpg/220px-Sidorenko_WMQ16_%2826%29_%2828177325596%29.jpg,Alexandre,Sidorenko,Q2834043,Sidorenko A.,0
Alexei Popyrin,A. Popyrin,1999-08-05,25.0,AUS,R,196.0,"Alexei Popyrin  (Russian: Алексей Попырин; born 5 August 1999) is an Australian professional tennis player. He has a career-high ATP singles ranking of world No. 23 achieved on 12 August 2024. He also has a career-high ATP doubles ranking of No. 235 achieved on 27 June 2022. He is currently the No. 2 Australian singles player. He has won three singles titles on the ATP Tour, including a Masters 1000 in Canada.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Popyrin_RG19_%2846%29_%2848199101562%29.jpg/220px-Popyrin_RG19_%2846%29_%2848199101562%29.jpg,Alexei,Popyrin,Q30143529,Popyrin A.,0
Alexey Vatutin,A. Vatutin,1992-10-27,32.0,RUS,R,178.0,Alexey Vatutin (Russian: Алексе́й Дми́триевич Вату́тин; born 27 October 1992) is a Russian tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2018_Roland_Garros_Qualifying_Tournament_-_12.jpg/220px-2018_Roland_Garros_Qualifying_Tournament_-_12.jpg,Alexey,Vatutin,Q21623230,Vatutin A.,0
Alexios Halebian,A. Halebian,1994-06-08,30.0,USA,L,,Alexios Halebian (born 8 June 1994) is an American tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_the_United_States_%2823px%29.png/23px-Flag_of_the_United_States_%2823px%29.png,Alexios,Halebian,Q34121385,Halebian A.,0
Alexis Galarneau,A. Galarneau,1999-03-02,25.0,CAN,R,,Alexis Galarneau (pronounced [a.lɛk.si]; born 2 March 1999) is a Canadian tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Galarneau_BLO22_%2843%29_%2852157039916%29.jpg/220px-Galarneau_BLO22_%2843%29_%2852157039916%29.jpg,Alexis,Galarneau,Q108023685,Galarneau A.,0
Alibek Kachmazov,A. Kachmazov,2002-08-17,22.0,RUS,R,,"Alibek Muratovich Kachmazov (Russian: Алибек Муратович Качмазов, IPA: [ɐlʲɪˈbʲek kɐˈt͡ɕmazəf]; born 17 August 2002) is a Russian tennis player.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Kachmazov4.jpg/220px-Kachmazov4.jpg,Alibek,Kachmazov,Q71077516,Kachmazov A.,0
Altug Celikbilek,A. Celikbilek,1996-09-07,28.0,TUR,R,183.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Celikbilek_RGQ22_%281%29_%2852130124385%29.jpg/220px-Celikbilek_RGQ22_%281%29_%2852130124385%29.jpg,Altug,Celikbilek,Q25477819,Celikbilek A.,0
Alvaro Lopez San Martin,A. Lopez San Martin,1997-06-02,27.0,ESP,R,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png,Alvaro,Lopez San Martin,Q20651281,Lopez San Martin A.,0
Amine Ahouda,A. Ahouda,1997-09-11,27.0,MAR,R,185.0,Amine Ahouda (born 11 September 1997) is a Moroccan tennis player.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png,Amine,Ahouda,Q23772543,Ahouda A.,0
Amir Weintraub,A. Weintraub,1986-09-16,38.0,ISR,R,188.0,"Amir Weintraub (Hebrew: אמיר ויינטרוב; born 16 September 1986) is an Israeli professional tennis player. In 2010, he won the Israeli Tennis Championship.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Weintraub_WMQ15_%2810%29_%2819943963522%29.jpg/220px-Weintraub_WMQ15_%2810%29_%2819943963522%29.jpg,Amir,Weintraub,Q3525392,Weintraub A.,0
Andraz Bedene,A. Bedene,1989-07-18,35.0,SLO,R,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/23px-Flag_of_Slovenia.svg.png,Andraz,Bedene,Q28842064,Bedene A.,0
Andre Ghem,A. Ghem,1982-05-29,42.0,BRA,R,193.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ghem_WMQ14_%2812%29_%2814420417669%29.jpg/220px-Ghem_WMQ14_%2812%29_%2814420417669%29.jpg,Andre,Ghem,Q4759919,Ghem A.,0
Andrea Arnaboldi,A. Arnaboldi,1987-12-27,36.0,ITA,L,180.0,"Andrea Arnaboldi (Italian pronunciation: [anˈdrɛːa arnaˈbɔldi]; born 27 December 1987) is an Italian former tennis player who competed on the ATP Challenger Tour. He advanced to the main draw of the 2014 French Open, 2015 French Open, and 2019 Wimbledon.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Andrea_Arnaboldi_4%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg/220px-Andrea_Arnaboldi_4%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg,Andrea,Arnaboldi,Q1112775,Arnaboldi A.,0
Andrea Basso,A. Basso,1993-10-08,31.0,ITA,L,,Andrea Basso (born 8 October 1993) is an Italian tennis player.,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png,Andrea,Basso,Q63651835,Basso A.,0
Andrea Collarini,A. Collarini,1992-01-31,32.0,ARG,L,185.0,Andrea Collarini (Spanish pronunciation: [anˈdɾea kolaˈɾini]; born 31 January 1992) is an Argentine-American tennis player. who competes mainly on the ATP Challenger Tour.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Collarini_WMQ14_%2816%29_%2814607051615%29.jpg/220px-Collarini_WMQ14_%2816%29_%2814607051615%29.jpg,Andrea,Collarini,Q4755022,Collarini A.,0
